Symbol,Close Price,Band,Margin,Tradable
HAPPYFORGE,947.85,10,5,Yes
HDFCLIFE,774.35,No Band,5,Yes
NIACL,192.8,20,5,Yes
AZAD,1587.5,20,5,Yes
INNOVACAP,860.85,20,5,Yes
INDIACEM,400.7,10,5,Yes
JYOTICNC,932.35,20,5,Yes
JKTYRE,376.75,20,5,Yes
JUBLPHARMA,1120.4,20,5,Yes
APOLLO,343.8,5,5,No
NEWGEN,885.2,20,5,Yes
AMBER,8298,No Band,5,Yes
PRIVISCL,2339.6,20,5,Yes
GALAXYSURF,2359.6,20,5,Yes
OPTIEMUS,649.45,20,5,Yes
ASTERDM,619.9,20,5,Yes
JSFB,467.3,20,5,Yes
HGINFRA,1026.15,20,5,Yes
BDL,1605,No Band,5,Yes
BANDHANBNK,162.67,No Band,5,Yes
ENTERO,1145.7,20,5,Yes
SUNDARMHLD,626.55,20,5,Yes
HAL,4840,No Band,5,Yes
ISEC,,,,Yes
MIDHANI,410.95,20,5,Yes
LEMONTREE,176.19,20,5,Yes
GENUSPOWER,345.55,10,5,Yes
JUNIPER,296.65,10,5,Yes
E2E,3016.5,5,5,No
RELAXO,488.8,20,5,Yes
SHILPAMED,826.3,5,5,No
ADANIGREEN,987.85,No Band,5,Yes
